"Department of Labor (DOL) Research Inventory
November 2009",,,,,,,,,,,
,,,,,,"Contractor Resource Utilization
(If applicable)",,,,,
DOL Agency,Title and Narrative Description,Status,"Begin
date",Date Published,Congressional Mandate,Contractor or Grantee,Amount expected to be obligated for the entire project,Links to Publications,,,
EBSA," EBSA Regulatory Lookback Review

This study supported EBSA's development of mandated regulatory impact analysis (RIA) for selected regulations and regulatory projects.  The vendor also delivered an evaluative report discussing EBSA's regulatory review procedures.",Concluded,Jul-06,,"No, but it is in response to an OMB PART recommendation",Current BPO contractor is ICF  International,"$575,000",,,,
EBSA,"Health Insurance Profiles and Projections

First and Second Task Order: This study will use and update a dataset created using a Current Population Survey module to examine the effects of incremental health care reform.",Underway,Sep-08,,No,Actuarial Research Corporation,"$520,000",,,,
EBSA,"Use of Pension Simulation (PENSIM) Model for Analysis of Pension and Investment Issues

First Task Order: PSG will use the PENSIM model to simulate the effects of an auto-IRA reform as well as to asses the retirement income risks associated with different kinds of life-cycle funds in defined contribution pension plans. 
Second Task Order: PSG will continue working on the analysis of auto-IRA reform as well as starting to add income taxation to the model.",Underway,Sep-08,,No,Policy Simulation Group (PSG),"$750,000",,,,
EBSA,"Financial Decision-Making in Defined Contribution Plans

First Task Order: This study focuses on how financial literacy, information, and advice influences participant decisions and will include developing theoretical models of financial advisors and individual investors in defined contribution plans. 
Second Task Order: RAND will analyze alternative presentation formats regarding financial information, e.g. risk and fees.",Underway,Sep-08,,No,RAND Corporation,"$440,000",,,,
EBSA,"Pension Investments in Financial Markets and Legacy Health Care Costs

First Task Order: The Role of Portfolio Allocation Computer Models and Lifecycle Funds in 401(k) Asset Accumulation - The contractor will compare asset allocations and returns for 1) actual investments of defined contribution plan participants, 2) computer assisted investments, and 3) lifecycle funds (TSP). 
Second Task Order: Legacy Health Care Costs
Third Task Order:  The Role of Annuities in Defined Contribution Plans",Underway,Sep-08,,No,Deloitte Financial Advisory Services LLP,$1.5 million,,,,
EBSA,"Health Insurance Reform

Implications of a National Health Insurance Exchange For Small Business - Task Order (3): RAND will enhance the existing RAND compare model to include implications for small businesses.",Underway,Sep-09,,No,RAND Corporation,$1 million,,,,
EBSA,"Evaluation of EBSA Seminars

To evaluate customer satisfaction with EBSA's compliance assistance outreach activities.  
Unit of Analysis:  EBSA customers.  ",Underway,,,No,,,,,,
EBSA,"Customer Satisfaction of the Participant Assistance Program

This study will assess customer satisfaction with EBSA's participant assistance program.  Following a four year hiatus, this will be an update to the four-year study of this program conducted from FY 2003 -2006. ",Proposed for FY 2011,Oct-10,,No,TBD,,,,,
ETA,"National Unemployment Insurance (UI) Benefits Study:  A comprehensive research study that examines:
o Changes in the labor market, population, and economy pertinent to the UI program;
o Changes in UI program outcomes, particularly duration of benefit receipt;
o Detailed characteristics of who does and does not receive UI benefits;
o Patterns of lifetime UI benefit receipt;
o The role of unemployment insurance in macro-economic stabilization; and
o The effectiveness of Reemployment Eligibility Assessments (REA) in nine state-specific projects.                                                                                    ",Underway,Jun-04,Multiple Reports,No,IMPAQ International,"$6,000,000 ",Reemployment and Eligibility Assessment (REA) Study: FY 2005,Recent Changes in the Characteristics of Unemployed Workers,Trends in the Structure of the Labor Market and Unemployment Implications for U.S. Unemployment Insurance,An Analysis of Unemployment Insurance Non-Filers-2005 CPS Supplement Results
ETA,Administrative Data Research and Evaluation:  Remaining tasks include updating and refining the tools for the Federal Research and Evaluation Databases (FRED).                                                                                                                                                                                                                                                                                              ,Underway ,Jul-98,Multiple Reports,No,The Jacob France Center at the University of Baltimore,"$4,595,000 ",ADARE Reports: Administrative Data Research and Evaluation,,,
ETA,"Workforce Investment Act (WIA) Quick Impact Study:  A rigorous, non-experimental net impact study of the receipt of Workforce Investment Act (WIA) core/intensive services and the incremental impact of WIA training on participant?s earning, employment and retention.  The study will use administrative data obtained from the National UI Benefits Study and the Administrative Data Study.",Completed,Oct-07,3/24/2009,No,IMPAQ International,"$1,000,000 ",The Workforce Investment Act Non-Experimental Net Impact Evaluation,,,
ETA,National Fund for Workforce Solutions (NFWS):  Regional public/private fund collaborative entities to educate and train workers and job seekers to address the talent demands of high-growth industries.  NFWS will provide technical assistance to workforce partnerships; conduct research on innovative public/private partnerships for workforce development; and develop a learning network to communicate promising practices.,Completed,Aug-07,12/18/2009,No,Jobs for the Future,"$500,000",Implementing the National Fund for Workforce Solutions,,,
ETA,"Voice of the Latino Workforce Experience:  A research project to understand Latino perspectives on the economy, jobs, and the workforce system and increase the capacity of Workforce Investment Boards (WIBs) to serve Latinos.  The project includes: 1) analysis of secondary statistics of the Latino labor force; 2) collection and analysis of first-person accounts of workforce experience in three sites; 3) collection and analysis about innovations in serving Latino workers; and 4) exploration of promising programs and services for improving skills and expanding career opportunities that lead to higher earnings.",Underway,Mar-05,,No,Arizona State University,"$396,939 ",Forthcoming,,,
ETA,"Recovery and Reemployment Research Conference:  Building on the success of the Reemployment Works Summit and subsequent Regional Forums, the 2009 Recovery and Reemployment Research Conference explored past and current prospects for future employment and training related research, demonstrations and evaluations.  The conference delved deeply into the following three themes:  (1) program design and service delivery of reemployment services throughout the workforce investment system, (2) the linkages between unemployment insurance and reemployment, and (3) effective strategies to serve unemployed workers, given the unprecedented economic downturn and the infusion of Recovery Act funds into the public workforce system.  The conference was held on September 15-16, 2009 at the L?Enfant Plaza Hotel in Washington, DC.  Over 250 participants attended the conference.  Conference participants included representatives from the research community, state and Federal government partners, workforce investment system stakeholders and practitioners, and ETA program office staff attended the conference.",Completed,Aug-07,9/15/2009,No,IMPAQ  International,"$500,000",http://reemploymentworks.workforce3one.org/page/home,,,
ETA,"Individual Training Account Experiment Extension:  An examination of the long-run impacts of three treatments and an exploration of a non-experimental control group to the evaluation to help determine the incremental net-impacts of training on participants? employment, retention, and earnings.",Underway,Jan-08,,No,Mathematica Policy Research,"$1,900,000",Forthcoming,,,
ETA,"Improving Measures of Efficiency for Employment and Training Programs:  This project conducts analyses of alternative outcome-based efficiency measures for WIA, Trade Adjustment Assistance (TAA), Employment Service (ES), Senior Community Service Employment Program (SCSEP), National Farmworker Jobs Program (NFJP), Indian and Native American Program (INAP), and Apprenticeship.  The project also will develop recommendations on whether to adopt such measures. ",Underway,Apr-08,,No,Capital Research Corporation,"$250,000 ",Forthcoming,,,
ETA,"Temporary Assistance for Needy Families (TANF) Leavers and the One-Stop System:  Case studies of exemplary practices in serving TANF and other low income populations through WIA One-Stop Career Centers.  
",Underway,Jun-08,,No,Rockefeller Institute of Government,"$97,681 ",Forthcoming,,,
ETA,"TANF Leavers and UI/ES Service Use:  Project analyzes linked administrative data concerning TANF Leavers and UI receipt and use of Wagner-Peyser Services.
",Underway,Jul-08,,No,Upjohn Institute for Employment Research,"$99,887 ",Forthcoming,,,
ETA,National Agricultural Worker Survey (NAWS):  Annual survey (since Fiscal Year (FY) 1989) to determine the human resources available for the agriculture industry.  Survey findings are used by several Departments and agencies (including the Departments of Education and Health and Human Services (HHS)) to target program services to migrant and seasonal farm workers and their dependents.  The data are collected in-person over three interviewing cycles.  Respondents are randomly sampled at their work sites and arrangements are made to interview them at a time and place that is convenient to them and which does not disrupt business practices.  ETA took over the survey from the Department of Labor's (DOL's) Office of the Assistant Secretary for Policy in April 2005.,On-going Survey,Jun-07,Multiple Reports,Yes.  CDC/NIOSH has a mandate to collect occupational injury and health data.  It uses the NAWS to collect this information.,"JBS/Aguirre International

","$2,160,000 ","The National Agricultural Workers Survey, Employment & Training Administration (ETA) - U.S. Department of Labor",,,
ETA,"ETA Research Grants Program:  This program will provide research grants on a competitive basis to doctoral and post-doctoral students with dissertations or interest in conducting original research concerning the public workforce system and other policy-relevant topics of interest to ETA including unemployment insurance, special populations (e.g., individuals with disabilities, migrant and seasonal farmworkers, Native Americans), and/or the ETA public use data (FRED or Workforce Investment Act Standardized Record Data (WIASRD)).     ",Underway,Sep-08,,No,"HeiTECH Services, Inc.","$106,819",Forthcoming,,,
ETA,"National Assessment of Adult Literacy (NAAL) Secondary Analysis:  The 2003 National Assessment of Adult Literacy is the first examination of the literacy skills of America?s adults since the 1992 National Adult Literacy Survey (NALS).  Through a Memorandum of Understanding (MOU) between the Office of Vocational and Adult Education of the Department of Education and ETA, additional analyses of NAAL data elements related to out-of-school youth, welfare recipients, and the incarcerated will provide the basis for research giving further critical information on the literacy levels of potential untapped labor pools.",Underway,Jan-08,,No,American Institutes for Research,"$166,038 ",Forthcoming,,,
ETA,"National Assessment of Adult Literacy Secondary Analysis:  This analysis will use the employment and training data elements as the basis for the research giving ETA critical information on the literacy levels of low-wage and under-employed workers, dislocated workers, limited English proficiency workers, and workers in high growth occupations.  The goal is to examine the relationship between literacy and employment and training, welfare participation, health, community participation, family literacy, computer use and technology, and literacy practices.",Underway,Sep-07,,No,American Institutes for Research,"$499,824 ",Forthcoming,,,
ETA,"Project ""Growing America Through Entrepreneurship"" (GATE) Demonstration Project:  A random assignment research demonstration testing the effectiveness of melding a variety of microenterprise initiatives into one cohesive program in One-Stop Career Centers.  The project is currently in the evaluation phase.  The contractor is in the process of completing a 60-month follow-up survey of the original sample of Project GATE participants.                                                                                                                                                                                                                                                           ",Underway,Jul-02,Multiple Reports,No,IMPAQ International,"$11,400,000 ",Growing America Through Entrepreneurship - Interim Report,Findings From the Evaluation of Project GATE Report,,
ETA,"Enhanced Services for the Hard-to-Employ (HtE) Demonstration and Evaluation:  Under an MOU with HHS, the study (which began in September 2001) will enhance employment outcomes for current or former TANF recipients and other low-income parents who face serious obstacles to steady work.  ETA provided HHS/Administration for Children and Families and HHS/Assistant Secretary for Planning and Evaluation with $500,000 in Program Year (PY) 2001 to support the component of this study that focuses on the role of the One-Stop Career Centers in providing services to current and former welfare recipients to help the hard-to-employ find employment, and to identify the impact of their services in the employment and earning results.",Underway ,May-02,,No,HHS contract with MDRC and The Lewin Group (DOL contributed funds),"$1,500,000 ",Welfare to Work Strategies for the hard to Employ,,,
ETA,"The National Work Advancement and Support Center Demonstration (WASC) Project:  This demonstration project began in 2001; ETA joined the demonstration in May 2003.  The focus of the random assignment demonstration is to expand the mission of One-Stop Career Centers and other workforce development agencies to better meet the needs of low wage workers.  The goals are to simplify and increase access to the full array of financial supports for low wage workers, particularly child care subsidies; Food Stamps; and health insurance; in addition to the Earned Income Tax Credit and the Child Tax Credit.  The project was expanded to focus on dislocated workers to determine if some of the same services would be beneficial to this group of workers.  A consortium of foundations and government agencies support WASC. The Food and Nutrition Service of the Department of Agriculture and HHS have transferred funds to DOL for WASC.",Underway,May-03,,No, MDRC (DOL contributed funds along with other funders),"$4,950,000 ",Strategies to Help Low-Wage Workers Advance,,,
ETA,"Performance-Based Job Training and Education Demonstration Project:  This demonstration project is testing a performance-based job training and education approach to serving low-income, ex-offenders, and individuals at-risk of court or gang involvement.  The project is based on prior work of Twin Cities RISE! (TCR!) to provide re-entry and job finding services to ex-offenders within the communities of Minneapolis and St. Paul.  Minnesota Department of Employment and Economic Development (DEED) provides administrative oversight for the project.",Underway,Jan-07,,No,Minnesota Department of Employment and Economic Development,"$600,000 ",Forthcoming,,,
ETA,"Transitional Jobs Reentry Research Demonstration:  This demonstration is testing whether transitional jobs and other special services are more effective than a basic job readiness, job placement model.  The research sample will include a total of 1,200 people - 600 in each research group - across all five sites (North Chicago; Cook County Chicago; Greater Detroit; Milwaukee, Wisconsin; and Ramsey County, Minnesota). ",Completed,Jun-06,,No,The Lewin Group & MDRC,"$300,000 ",Forthcoming,,,
ETA,"Preparing K-12 Teachers for Rural Communities:  The demonstration is designed to increase the number of qualified rural teachers in the hard-to-fill disciplines of math and science.  Demonstration funds will provide scholarships, support faculty academic guidance and mentoring, clinical supervision during student teaching experiences in rural school districts, and professional development opportunities will be made available for up to one year following a students? graduation from their degree program in the Western Governors University-Teachers College (WGU-TC).",Underway,Feb-07,,No,Western Governors University,"$3,063,700",Forthcoming,,,
ETA,Collaborative Online Workforce and Education Training Portal Demonstration - Colorado:  This demonstration pilots an online ?portal? that will provide individuals in the participating states with information on nationally available online certificate and degree programs that respond to identified high-growth areas in each state.  The goal is to ensure that all motivated adult learners have access to programs that respond to workforce needs in their communities.,Underway,Jun-08,,No,Colorado Department of Labor and Employment,"$500,000 ",See: Evaluation of Collaborative Online Workforce and Education Training Portal Demonstration,,,
ETA,Collaborative Online Workforce and Education Training Portal Demonstration - Maine:  This demonstration pilots an online ?portal? that will provide individuals in the participating states with information on nationally available online certificate and degree programs that respond to identified high-growth areas in each state.  The goal is to ensure that all motivated adult learners have access to programs that respond to workforce needs in their communities.,Underway,Jun-08,,No,Maine Department of Labor,"$500,000 ",See: Evaluation of Collaborative Online Workforce and Education Training Portal Demonstration,,,
ETA,Collaborative Online Workforce and Education Training Portal Demonstration - Mississippi:  This demonstration pilots an online ?portal? that will provide individuals in the participating states with information on nationally available online certificate and degree programs that respond to identified high-growth areas in each state.  The goal is to ensure that all motivated adult learners have access to programs that respond to workforce needs in their communities.,Underway,Jun-08,,No,Mississippi Department of Employment Security,"$500,000 ",See: Evaluation of Collaborative Online Workforce and Education Training Portal Demonstration,,,
ETA,Collaborative Online Workforce and Education Training Portal Demonstration - Pennsylvania:  This demonstration pilots an online ?portal? that will provide individuals in the participating states with information on nationally available online certificate and degree programs that respond to identified high-growth areas in each state.  The goal is to ensure that all motivated adult learners have access to programs that respond to workforce needs in their communities.,Underway,Jun-08,,No,Pennsylvania Department of Labor & Industry,"$500,000 ",See: Evaluation of Collaborative Online Workforce and Education Training Portal Demonstration,,,
ETA,Technical Assistance for the Young Parents Demonstration (YPD) Grants I:  This technical assistance contract provides implementation assistance to the selected programs in the Young Parents Demonstration Grant.,Underway,Jul-08,,Yes,The Lewin Group,"$199,998",Forthcoming,,,
ETA,Technical Assistance for the Young Parents Demonstration Grants II:  This technical assistance contract provides implementation assistance to the selected programs in the Young Parents Demonstration Grant.,Underway,Jun-09,,Yes,AVAR Consulting,"$437,572",Forthcoming,,,
ETA,"Technical Assistance for the Project GATE Dislocated Workers Grants:  IMPAQ will plan, coordinate, and manage on-site and off-site training and technical assistance for grantees selected under the Project GATE Dislocated Worker Grants.  The grantees are: North Carolina, Minnesota, Virginia, and Alabama.  ",Underway,Jul-08,,No,IMPAQ International,"$485,000",Forthcoming,,,
ETA,"Entrepreneurship Opportunities for Dislocated Workers in Rural Areas -- Alabama:  The project's purpose is to build on the original Project GATE Demonstration to address opportunities for dislocated workers in rural areas to avail themselves of project services.  This project offers a customize program of focused training for each participant, based on their needs and skills, as assessed from an application.  Individuals are able to register for the program by telephone, mail, via the Internet, in-person at a local One-Stop Career Center or by a mobile career center.",Underway,Jul-08,,No,Alabama Department of Economic and Community Affairs,"$1,000,000",See: Evaluation of the Entrepreneurship Opportunities for Dislocated Workers,,,
ETA,"Entrepreneurship Opportunities for Dislocated Workers in Rural Areas -- North Carolina: The project's purpose is to build on the original Project GATE Demonstration to address opportunities for dislocated workers in rural areas to avail themselves of project services.  This GATE project provides a customized tailored package of assistance for each individual served, drawing on partnerships with a variety of business development services and education programs.  ",Underway,Jul-08,,No,North Carolina Department of Commerce,"$1,605,508",See: Evaluation of the Entrepreneurship Opportunities for Dislocated Workers,,,
ETA,"Entrepreneurship Opportunities for Dislocated Workers Aged 50+ -- Virginia:  The project's purpose is to build on the original Project GATE Demonstration to address opportunities for dislocated workers age 50 and over that are eligible for WIA services.  The project provides a customized, tailored package of assistance for each individual served, drawing upon partnerships with a variety of business development services and education programs.",Underway,Jul-08,,No,Virginia Community College System,"$1,233,535",See: Evaluation of the Entrepreneurship Opportunities for Dislocated Workers,,,
ETA,"Entrepreneurship Opportunities for Dislocated Workers Aged 50+ -- Minnesota:  The project's purpose is to build on the original Project GATE Demonstration to address opportunities for dislocated workers age 50 and over that are eligible for WIA services.  The project provides a customized, tailored package of assistance for each individual served, drawing upon partnerships with a variety of business development services and education programs.  The project will use a ten step approach for its participants:  eligibility filtering, career goal discussion, registration, entrepreneurship orientation, application, rigorous assessment, training, counseling, resources and support, and finally success (including outcome measurement).",Underway,Jul-08,,No,Minnesota Department of Employment and Economic Development,"$2,000,000",See: Evaluation of the Entrepreneurship Opportunities for Dislocated Workers,,,
